"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"64","(0.14,1]",0.4,0.121552258119827,0.737621923393055,4,0.570018364530823,"4","trafo","cilsmrsbl","equal"
"65","[0,0.0475]",0,0,0.284914152918154,0,0.0237407896534427,"5","trafo","cilsmrsbl","equal"
"66","(0.0475,0.087]",0,0,0.308497107818761,0,0.0672290722146634,"5","trafo","cilsmrsbl","equal"
"67","(0.087,0.186]",0.1,0.00252857854446179,0.445016117028195,1,0.136708083624387,"5","trafo","cilsmrsbl","equal"
"68","(0.186,1]",0.2,0.0252107263268334,0.556095462307641,2,0.593219801063166,"5","trafo","cilsmrsbl","equal"
"69","[0,0.05]",0,0,0.284914152918154,0,0.0249933338162696,"6","trafo","cilsmrsbl","equal"
"70","(0.05,0.115]",0,0,0.308497107818761,0,0.0825706558681359,"6","trafo","cilsmrsbl","equal"
"71","(0.115,0.213]",0.2,0.0252107263268334,0.556095462307641,2,0.164178551690796,"6","trafo","cilsmrsbl","equal"
"72","(0.213,1]",0.4,0.121552258119827,0.737621923393055,4,0.606601229638929,"6","trafo","cilsmrsbl","equal"
"73","[0,0.0209]",0,0,0.284914152918154,0,0.0104486942605653,"1","linear","cils","equal"
"74","(0.0209,0.0666]",0,0,0.308497107818761,0,0.0437471360090212,"1","linear","cils","equal"
"75","(0.0666,0.125]",0.1,0.00252857854446179,0.445016117028195,1,0.0958036347086519,"1","linear","cils","equal"
"76","(0.125,1]",0.3,0.0667395111777345,0.652452850059997,3,0.562505192960196,"1","linear","cils","equal"
"77","[0,0.0222]",0,0,0.284914152918154,0,0.0110870169917467,"2","linear","cils","equal"
"78","(0.0222,0.0493]",0,0,0.308497107818761,0,0.0357532485803014,"2","linear","cils","equal"
"79","(0.0493,0.136]",0,0,0.308497107818761,0,0.0928034373345414,"2","linear","cils","equal"
"80","(0.136,1]",0.5,0.187086028447399,0.812913971552601,5,0.568137205745987,"2","linear","cils","equal"
"81","[0,0.0279]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0139598875454061,"3","linear","cils","equal"
"82","(0.0279,0.0665]",0.2,0.0252107263268334,0.556095462307641,2,0.0472021440777569,"3","linear","cils","equal"
"83","(0.0665,0.169]",0.1,0.00252857854446179,0.445016117028195,1,0.117953443984422,"3","linear","cils","equal"
